# Convention: CF-1.6
# featureType: timeSeries
# history: Created Wed Mar 27 20:39:32 2019
# processing_notes: This file was produced Wed Mar 27 20:36:25 2019 by Kevin Sampson (NCAR) and has the following attributes: 
#    This file uses the NHDPlus v21 "flattened" geodatabase: NHDPlusV21_National_HI_PR_VI_PI_Seamless_Geodatabase_03.gdb.
#    Topology fixes using: Topology_Fixer.csv.
#    NHDFlowlines removed using: Remove_COMIDs_NHDFLowline_Network.csv.
#    Gage preference list: numberOf100QualityObs.2017-03-15.csv.
#    Gage subset list: numberOf100QualityObs.2017-03-15.csv.
#    Gage additions made using: Add_Gage_Association.csv.
#    Gage-to-flowline association changes made using: Bad_Gage_Associations.csv.
#    Tidal-influenced gages removed using: TidalGageList_20170316.csv.
#    Waterbody associations using spatial join with Lake feature class Input_Reservoirs.shp.
# version: NWM v2.1
# Extracted from NetCDF on 2021-05-03 15:46:23.642612+00:00
# Some column names were changed when extracting from the original NetCDF format.
# link -> nwm_feature_id
# gages -> usgs_site_code
# lat -> latitude
# lon -> longitude
# 
feature_id,nwm_feature_id,from,to,longitude,latitude,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,usgs_site_code,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth
4877,800040368,0,800029614,-66.10211,18.414684,8.31,1,0.0,3600.0,0.2,1037.0,0.06,0.00628,0.735191,1.7100167,-9999,2000-01-01,50049620,0,5916,0.12,8.550083,2.8500278
5322,800025251,0,800038124,-66.12152,18.167278,422.61,2,0.0,3600.0,0.2,1623.4,0.06,0.00819,0.75170016,1.6260713,-9999,2000-01-01,50047535,0,1959,0.12,8.130357,2.710119
5969,800030234,0,800036870,-67.05274,18.454575,149.1,1,0.0,3600.0,0.2,14728.0,0.06,1e-05,0.4711086,4.6892114,-9999,2000-01-01,50011085,0,11170,0.12,23.446056,7.8153524
6414,800033837,0,0,-66.10117,17.9808,29.68,1,0.0,3600.0,0.2,80.3,0.06,1e-05,0.7834796,1.4803965,-9999,2000-01-01,50093078,0,7932,0.12,7.401983,2.4673276
6565,800034991,0,0,-66.89764,18.03253,61.91,1,0.0,3600.0,0.2,174.5,0.06,0.03304,1.5001365,0.33958173,-9999,2000-01-01,50128907,0,8923,0.12,1.6979086,0.5659695
7006,800038616,0,800029969,-65.81942,18.323195,447.1,2,0.0,3600.0,0.2,1237.0,0.06,0.21082,0.6579686,2.1990871,-9999,2000-01-01,50063440,0,7991,0.12,10.995436,3.6651452
7011,800038641,0,800027944,-65.78439,18.271873,623.36,2,0.0,3600.0,0.2,1282.0,0.06,0.08939,0.6338584,2.3932698,-9999,2000-01-01,50075000,0,10449,0.12,11.966349,3.9887831
9067,800035037,0,800032952,-66.87135,18.295181,304.99,2,0.0,3600.0,0.2,1573.0,0.06,0.01275,0.57732713,2.9576783,-9999,2000-01-01,50010500,0,13039,0.12,14.788392,4.929464
9479,800027711,0,800036280,-65.94623,18.027378,107.96,3,0.0,3600.0,0.2,2519.0,0.055,0.01978,0.5314915,3.5676513,-9999,2000-01-01,50090500,0,12126,0.11,17.838257,5.9460855
9664,800034307,0,800038618,-65.81768,18.357426,23.89,3,0.0,3600.0,0.2,1324.0,0.055,0.01076,0.49378657,4.2152023,-9999,2000-01-01,50063800,0,3562,0.11,21.076012,7.025337
