# Convention: CF-1.6
# featureType: timeSeries
# processing_notes: This file was produced Fri Jan 12 11:41:28 2018 by Kevin Sampson (NCAR) and has the following attributes: 
#    This file uses the NHDPlus v21 "flattened" HI geodatabase v03: NHDPlusV21_National_HI_PR_VI_PI_Seamless_Geodatabase_03.gdb.
#    This file includes only reaches in Hawaii (VPUID 20).
#    Topology fixes using: Topology_Fixer.csv.
#    NHDFlowlines removed using: Remove_COMIDs_NHDFLowline_Network.csv.
#    Using alternate NHD gage list: C:\Data\DL\Delete\NHDPlusNationalData\NHDPlusV21_National_HI_PR_VI_PI_Seamless_Geodatabase_03.gdb\NHDEvents\Gage. 
#    Gage preference list: numberOf100QualityObs.2017-03-15.csv.
#    Gage additions made using: Add_Gage_Association.csv.
#    Gage-to-flowline association changes made using: Bad_Gage_Associations.csv.
#    Tidal-influenced gages removed using: TidalGageList_20170316.csv.
#    Waterbody associations performed using spatial join with NHDWaterbodies feature class.   Waterbody feature class used: HI_NHDWaterbodies_Selected_plus_final.shp
# history: Thu Sep 19 11:01:14 2019: ncatted -O -a region,global,c,c,Hawaii Route_Link_Hawaii_NWM_v2_1_alpha.nc
# Thu Sep 19 11:00:56 2019: ncatted -O -a version,global,c,c,NWM v2.1 alpha Route_Link_Hawaii_NWM_v2_1_alpha.nc
# Created Fri Jan 12 11:41:44 2018
# NCO: netCDF Operators version 4.7.9 (Homepage = http://nco.sf.net, Code = http://github.com/nco/nco)
# region: Hawaii
# version: NWM v2.1
# Extracted from NetCDF on 2021-05-03 15:46:23.642612+00:00
# Some column names were changed when extracting from the original NetCDF format.
# link -> nwm_feature_id
# gages -> usgs_site_code
# lat -> latitude
# lon -> longitude
# 
feature_id,nwm_feature_id,from,to,longitude,latitude,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,usgs_site_code,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth
2108,800010123,0,800005634,-157.84082,21.394543,519.84,1,0.0,3600.0,0.2,2908.0,0.035,0.113,0.6911414,1.9670819,-9999,2000-01-01,16227500,0,578,0.12,9.835409,3.2784698
2574,800012331,0,800003406,-157.8497,21.435839,176.18,1,0.0,3600.0,0.2,1535.0,0.035,0.093,0.7011348,1.904104,-9999,2000-01-01,16283200,0,4090,0.12,9.52052,3.1735065
4316,800005662,0,800005661,-157.7861,21.31402,215.64,2,0.0,3600.0,0.2,1849.0,0.035,0.059,0.66882384,2.1190157,-9999,2000-01-01,16244000,0,10912,0.12,10.595078,3.5316927
4378,800006277,0,800006300,-156.23401,20.794044,1765.19,2,0.0,3600.0,0.2,2764.0,0.035,0.155,0.59616417,2.7500765,-9999,2000-01-01,16552800,0,6859,0.12,13.750382,4.583461
4730,800009690,0,800014089,-159.39853,22.079182,179.29,2,0.0,3600.0,0.2,1642.0,0.035,0.021,0.7132109,1.8318086,-9999,2000-01-01,16071500,0,6884,0.12,9.159042,3.0530143
5284,800015240,0,800017479,-156.14777,20.805923,786.73,2,0.0,3600.0,0.2,3691.0,0.035,0.107,0.56185323,3.1455424,-9999,2000-01-01,16518000,0,6921,0.12,15.727712,5.2425704
5419,800016809,0,0,-157.78973,21.40808,21.75,2,0.0,3600.0,0.2,2032.0,0.035,0.01,0.63298583,2.4007545,-9999,2000-01-01,16265000,0,11165,0.12,12.003773,4.0012574
5669,800001894,0,800001902,-155.68434,20.085627,1290.83,2,0.0,3600.0,0.2,985.0,0.035,0.051,0.63807744,2.357551,-9999,2000-01-01,16720000,0,11989,0.12,11.787755,3.929252
5906,800005664,0,800004522,-157.79959,21.328047,92.83,3,0.0,3600.0,0.2,348.0,0.035,0.034,0.6759337,2.06883,-9999,2000-01-01,16240500,0,1590,0.11,10.34415,3.4480498
5966,800006488,0,800013144,-155.67317,20.072088,1234.17,1,0.0,3600.0,0.2,695.0,0.035,0.07,0.697576,1.9261936,-9999,2000-01-01,16725000,0,6028,0.12,9.630968,3.2103229
6095,800008811,0,800008822,-155.481,19.209587,388.96,2,0.0,3600.0,0.2,1327.0,0.035,0.071,0.6336729,2.3948584,-9999,2000-01-01,16770500,0,9735,0.12,11.974292,3.9914305
6460,800015253,0,800008612,-156.11842,20.799955,694.3,2,0.0,3600.0,0.2,2110.0,0.035,0.14,0.56353825,3.1242642,-9999,2000-01-01,16508000,0,9445,0.12,15.621322,5.207107
6554,800016796,0,800003416,-157.81938,21.41177,90.23,2,0.0,3600.0,0.2,1570.0,0.035,0.029,0.6592086,2.189722,-9999,2000-01-01,16275000,0,7624,0.12,10.948609,3.6495366
7054,800010025,0,800010024,-157.94493,21.516352,368.12,2,0.0,3600.0,0.2,129.0,0.035,0.052,0.6689635,2.118013,-9999,2000-01-01,16200000,0,12292,0.12,10.590065,3.5300214
7142,800012126,0,800000898,-158.06877,21.402792,211.89,2,0.0,3600.0,0.2,481.0,0.035,0.052,0.62195873,2.498319,-9999,2000-01-01,16212480,0,11128,0.12,12.491594,4.1638646
7478,800004018,0,800017409,-156.25233,20.886097,366.07,2,0.0,3600.0,0.2,72.0,0.035,0.053,0.7228386,1.7769713,-9999,2000-01-01,16587000,0,13012,0.12,8.884857,2.961619
7668,800009962,0,800006828,-157.9998,21.562681,344.8,3,0.0,3600.0,0.2,481.0,0.035,0.013,0.5740459,2.9961379,-9999,2000-01-01,16345000,0,9043,0.11,14.980689,4.9935627
7834,800015722,0,800016773,-157.84563,21.362925,257.83,2,0.0,3600.0,0.2,5704.0,0.035,0.037,0.55937725,3.1771903,-9999,2000-01-01,16229000,0,2122,0.12,15.885951,5.295317
7902,800000049,0,800008303,-156.59473,20.97986,264.08,2,0.0,3600.0,0.2,5431.0,0.035,0.039,0.5194293,3.758208,-9999,2000-01-01,16620000,0,2151,0.12,18.79104,6.26368
8025,800005663,0,800004522,-157.801,21.327765,85.95,2,0.0,3600.0,0.2,190.0,0.035,0.026,0.6570372,2.2061594,-9999,2000-01-01,16238500,0,13418,0.12,11.030796,3.676932
8069,800007811,0,800014468,-157.9036,21.381134,54.73,2,0.0,3600.0,0.2,410.0,0.035,0.023,0.55310506,3.2594433,-9999,2000-01-01,16226200,0,4821,0.12,16.297216,5.4324055
8083,800008624,0,800013056,-156.05276,20.669231,144.5,2,0.0,3600.0,0.2,267.0,0.035,0.052,0.4953002,4.1860604,-9999,2000-01-01,16501200,0,4825,0.12,20.930304,6.9767675
8228,800014526,0,800010120,-157.83687,21.298677,11.31,2,0.0,3600.0,0.2,594.0,0.035,0.014,0.5986582,2.724176,-9999,2000-01-01,16238000,0,4855,0.12,13.62088,4.540293
8229,800014566,0,800005689,-157.76343,21.359512,37.7,3,0.0,3600.0,0.2,415.0,0.035,0.033,0.61994326,2.5167668,-9999,2000-01-01,16254000,0,2252,0.11,12.583835,4.1946115
8269,800016340,0,800002878,-159.41858,22.177813,132.31,3,0.0,3600.0,0.2,1726.0,0.035,0.014,0.6501474,2.2595086,-9999,2000-01-01,16097500,0,2269,0.11,11.297543,3.7658477
8399,800004522,0,800010127,-157.80946,21.309118,81.01,3,0.0,3600.0,0.2,4936.0,0.035,0.015,0.53095675,3.5758014,-9999,2000-01-01,16241600,0,2305,0.11,17.879007,5.959669
8445,800007563,0,800003052,-158.1793,21.50241,325.45,3,0.0,3600.0,0.2,622.0,0.035,0.068,0.5998633,2.7117867,-9999,2000-01-01,16211600,0,11380,0.11,13.558934,4.5196447
8453,800007876,0,800003407,-157.84941,21.454685,50.59,2,0.0,3600.0,0.2,2308.0,0.035,0.02,0.6327843,2.4024875,-9999,2000-01-01,16284200,0,11499,0.12,12.012438,4.0041456
8498,800010242,0,0,-157.01233,21.099276,153.36,4,0.0,3600.0,0.2,3480.0,0.035,0.042,0.50205797,4.059433,-9999,2000-01-01,16414200,0,2315,0.11,20.297165,6.7657213
8539,800012766,0,800008353,-156.54907,20.934153,218.17,3,0.0,3600.0,0.2,722.0,0.035,0.049,0.54926264,3.3113565,-9999,2000-01-01,16614000,0,6248,0.11,16.556784,5.5189276
8549,800013069,0,0,-155.94789,19.634123,787.0,2,0.0,3600.0,0.2,5528.0,0.035,0.118,0.460927,4.9272876,-9999,2000-01-01,16759600,0,8142,0.12,24.636436,8.212146
8661,800001052,0,800016702,-157.9104,21.374865,41.08,2,0.0,3600.0,0.2,1318.0,0.035,0.018,0.542397,3.407126,-9999,2000-01-01,16226400,0,2356,0.12,17.035631,5.6785436
